44.1927, latitude, 63.8525, longitude, -40.0196
4.95833, latitude, 57.837, longitude, -40.0196
7.61328, latitude, 52.0117, longitude, -40.0197
29.7448, latitude, 46.1745, longitude, -40.0193
43.5859, latitude, 40.4079, longitude, -40.0194
42.6471, latitude, 40.4079, longitude, -40.0194
25.8099, latitude, 34.4408, longitude, -40.0195
28.293, latitude, 34.2718, longitude, -40.0196
10.4896, latitude, 22.5799, longitude, -40.0194
25.181, latitude, 10.977, longitude, -40.0194
25.1784, latitude, 10.8095, longitude, -40.0195
5.01562, latitude, 4.92763, longitude, -40.0193
12.7526, latitude, -0.798247, longitude, -40.0198
24.5365, latitude, -6.62887, longitude, -40.0194
44.9583, latitude, -12.5968, longitude, -40.0197
10.0391, latitude, -18.4141, longitude, -40.0194
12.0924, latitude, -24.257, longitude, -40.019
40.7461, latitude, -30.2082, longitude, -40.0195
51.8177, latitude, -36.0119, longitude, -40.0191
33.5625, latitude, -41.8523, longitude, -40.0194
9.85156, latitude, -47.7198, longitude, -40.0195
9.2487, latitude, -47.7198, longitude, -40.0195
0.282552, latitude, -53.5698, longitude, -41.7196
19.0221, latitude, -47.6922, longitude, -41.7201
37.5625, latitude, -41.8458, longitude, -41.7197
52.6068, latitude, -36.0027, longitude, -41.7197
29.0365, latitude, -30.0648, longitude, -41.7197
4.30859, latitude, -30.0641, longitude, -41.72
7.79948, latitude, -18.3812, longitude, -41.7197
